sample	tissue	condition
GSM3985268	Retina	Control
GSM3985277	Retina	Control
GSM3985282	Retina	Control
GSM3985285	Retina	Control
GSM3985293	Retina	Control
GSM3985296	Retina	Control
GSM3985315	Retina	AMD
GSM3985316	Retina	Control
GSM3985321	Retina	AMD
GSM3985329	Retina	AMD
GSM3985333	Retina	Control
GSM3985334	Retina	AMD
GSM3985335	Retina	Control
GSM3985337	Retina	Control
GSM3985338	Retina	Control
GSM3985339	Retina	AMD
GSM3985343	Retina	AMD
GSM3985344	Retina	AMD
GSM3985354	Retina	AMD
GSM3985363	Retina	AMD
GSM3985365	Retina	Control
GSM3985371	Retina	AMD
GSM3985378	Retina	Control
GSM3985379	Retina	AMD
GSM3985383	Retina	AMD
GSM3985387	Retina	Control
GSM3985392	Retina	Control
GSM3985393	Retina	AMD
GSM3985395	Retina	Control
GSM3985396	Retina	AMD
GSM3985404	Retina	Control
GSM3985407	Retina	Control
GSM3985420	Retina	Control
GSM3985421	Retina	Control
GSM3985423	Retina	Control
GSM3985424	Retina	Control
GSM3985431	Retina	Control
GSM3985435	Retina	Control
GSM3985436	Retina	Control
GSM3985438	Retina	Control
GSM3985446	Retina	Control
GSM3985449	Retina	AMD
GSM3985457	Retina	Control
GSM3985465	Retina	Control
GSM3985468	Retina	Control
GSM3985473	Retina	Control
GSM3985474	Retina	Control
GSM3985479	Retina	Control
GSM3985490	Retina	Control
GSM3985497	Retina	Control
GSM3985499	Retina	Control
GSM3985505	Retina	Control
GSM3985507	Retina	Control
GSM3985508	Retina	Control
GSM3985513	Retina	AMD
GSM3985516	Retina	Control
GSM3985524	Retina	Control
GSM3985527	Retina	Control
GSM3985530	Retina	Control
GSM3985533	Retina	Control
GSM3985534	Retina	Control
GSM3985537	Retina	Control
GSM3985542	Retina	Control
GSM3985545	Retina	Control
GSM3985551	Retina	Control
GSM3985552	Retina	AMD
GSM3985556	Retina	Control
GSM3985567	Retina	Control
GSM3985571	Retina	Control
GSM3985572	Retina	Control
GSM3985578	Retina	Control
GSM3985583	Retina	AMD
GSM3985585	Retina	Control
GSM3985588	Retina	Control
GSM3985589	Retina	Control
GSM3985595	Retina	Control
GSM3985605	Retina	Control
GSM3985606	Retina	Control
GSM3985616	Retina	Control
GSM3985624	Retina	Control
GSM3985631	Retina	Control
GSM3985634	Retina	Control
GSM3985636	Retina	Control
GSM3985651	Retina	Control
GSM3985655	Retina	Control
GSM3985660	Retina	Control
GSM3985668	Retina	AMD
GSM3985672	Retina	Control
GSM3985674	Retina	AMD
GSM3985679	Retina	Control
GSM3985681	Retina	Control
GSM3985684	Retina	Control
GSM3985687	Retina	Control
GSM3985689	Retina	AMD
GSM3985690	Retina	AMD
GSM3985692	Retina	Control
GSM3985695	Retina	Control
GSM3985696	Retina	Control
GSM3985701	Retina	AMD
GSM3985702	Retina	Control
GSM3985703	Retina	Control
GSM3985704	Retina	Control
GSM3985706	Retina	Control
GSM3985711	Retina	Control
GSM3985729	Retina	Control
GSM3985731	Retina	Control
GSM3985736	Retina	AMD
GSM3985743	Retina	Control
GSM3985746	Retina	AMD
GSM3985749	Retina	Control
GSM3985750	Retina	Control
GSM3985756	Retina	AMD
GSM3985760	Retina	Control
GSM3985764	Retina	Control
GSM3985765	Retina	Control
GSM3985767	Retina	Control
GSM3985777	Retina	Control
GSM3985778	Retina	Control
GSM3985780	Retina	Control
GSM3985784	Retina	Control
GSM3985786	Retina	Control
GSM3985787	Retina	Control
GSM3985789	Retina	Control
GSM3985790	Retina	Control
GSM3985797	Retina	AMD
GSM3985805	Retina	Control
GSM3985806	Retina	Control
GSM3985812	Retina	Control
