"Sample" "Tissue" "Condition"
"1" "GSM3985262" "RPE_Macula" "Control"
"2" "GSM3985263" "RPE_non-Macula" "Control"
"3" "GSM3985264" "Retina_non-Macula" "Control"
"4" "GSM3985265" "RPE_non-Macula" "Control"
"5" "GSM3985266" "RPE_non-Macula" "Control"
"6" "GSM3985267" "RPE_Macula" "Control"
"7" "GSM3985268" "Retina_Macula" "Control"
"8" "GSM3985269" "Retina_non-Macula" "Control"
"9" "GSM3985270" "Retina_non-Macula" "Control"
"10" "GSM3985271" "RPE_non-Macula" "Control"
"11" "GSM3985272" "Retina_non-Macula" "Control"
"12" "GSM3985273" "RPE_non-Macula" "Control"
"13" "GSM3985274" "Retina_non-Macula" "Control"
"14" "GSM3985275" "Retina_non-Macula" "Control"
"15" "GSM3985276" "Retina_non-Macula" "Control"
"16" "GSM3985277" "Retina_Macula" "Control"
"17" "GSM3985278" "Retina_non-Macula" "Control"
"18" "GSM3985279" "Retina_non-Macula" "Control"
"19" "GSM3985280" "RPE_non-Macula" "Control"
"20" "GSM3985281" "RPE_Macula" "Control"
"21" "GSM3985282" "Retina_Macula" "Control"
"22" "GSM3985283" "RPE_non-Macula" "Control"
"23" "GSM3985284" "RPE_non-Macula" "Control"
"24" "GSM3985285" "Retina_Macula" "Control"
"25" "GSM3985286" "Retina_non-Macula" "Control"
"26" "GSM3985287" "RPE_non-Macula" "Control"
"27" "GSM3985288" "RPE_Macula" "Control"
"28" "GSM3985289" "RPE_Macula" "Control"
"29" "GSM3985290" "Retina_non-Macula" "Control"
"30" "GSM3985291" "RPE_non-Macula" "Control"
"31" "GSM3985292" "RPE_Macula" "Control"
"32" "GSM3985293" "Retina_Macula" "Control"
"33" "GSM3985294" "RPE_Macula" "Control"
"34" "GSM3985295" "RPE_Macula" "Control"
"35" "GSM3985296" "Retina_Macula" "Control"
"36" "GSM3985297" "RPE_non-Macula" "Control"
"37" "GSM3985298" "RPE_non-Macula" "Control"
"38" "GSM3985299" "Retina_non-Macula" "Control"
"39" "GSM3985300" "Retina_non-Macula" "Control"
"40" "GSM3985301" "Retina_non-Macula" "Control"
"41" "GSM3985302" "RPE_non-Macula" "Control"
"42" "GSM3985303" "RPE_Macula" "Control"
"43" "GSM3985304" "Retina_non-Macula" "Control"
"44" "GSM3985305" "RPE_Macula" "Control"
"45" "GSM3985306" "RPE_non-Macula" "Control"
"46" "GSM3985307" "RPE_Macula" "Control"
"47" "GSM3985308" "Retina_non-Macula" "Control"
"48" "GSM3985309" "RPE_non-Macula" "AMD"
"49" "GSM3985310" "Retina_non-Macula" "Control"
"50" "GSM3985311" "RPE_non-Macula" "AMD"
"51" "GSM3985312" "Retina_non-Macula" "AMD"
"52" "GSM3985313" "RPE_Macula" "AMD"
"53" "GSM3985314" "RPE_Macula" "Control"
"54" "GSM3985315" "Retina_Macula" "AMD"
"55" "GSM3985316" "Retina_Macula" "Control"
"56" "GSM3985317" "RPE_Macula" "AMD"
"57" "GSM3985318" "RPE_Macula" "Control"
"58" "GSM3985319" "Retina_non-Macula" "AMD"
"59" "GSM3985320" "Retina_non-Macula" "AMD"
"60" "GSM3985321" "Retina_Macula" "AMD"
"61" "GSM3985322" "RPE_Macula" "Control"
"62" "GSM3985323" "RPE_non-Macula" "AMD"
"63" "GSM3985324" "Retina_non-Macula" "AMD"
"64" "GSM3985325" "RPE_non-Macula" "Control"
"65" "GSM3985326" "Retina_non-Macula" "AMD"
"66" "GSM3985327" "Retina_non-Macula" "AMD"
"67" "GSM3985328" "RPE_Macula" "AMD"
"68" "GSM3985329" "Retina_Macula" "AMD"
"69" "GSM3985330" "RPE_non-Macula" "AMD"
"70" "GSM3985331" "RPE_Macula" "AMD"
"71" "GSM3985332" "RPE_Macula" "AMD"
"72" "GSM3985333" "Retina_Macula" "Control"
"73" "GSM3985334" "Retina_Macula" "AMD"
"74" "GSM3985335" "Retina_Macula" "Control"
"75" "GSM3985336" "RPE_non-Macula" "Control"
"76" "GSM3985337" "Retina_Macula" "Control"
"77" "GSM3985338" "Retina_Macula" "Control"
"78" "GSM3985339" "Retina_Macula" "AMD"
"79" "GSM3985340" "RPE_Macula" "Control"
"80" "GSM3985341" "RPE_Macula" "Control"
"81" "GSM3985342" "RPE_non-Macula" "Control"
"82" "GSM3985343" "Retina_Macula" "AMD"
"83" "GSM3985344" "Retina_Macula" "AMD"
"84" "GSM3985345" "Retina_non-Macula" "Control"
"85" "GSM3985346" "RPE_non-Macula" "Control"
"86" "GSM3985347" "Retina_non-Macula" "AMD"
"87" "GSM3985348" "Retina_non-Macula" "Control"
"88" "GSM3985349" "RPE_non-Macula" "AMD"
"89" "GSM3985350" "Retina_non-Macula" "Control"
"90" "GSM3985351" "RPE_non-Macula" "Control"
"91" "GSM3985352" "RPE_Macula" "AMD"
"92" "GSM3985353" "Retina_non-Macula" "AMD"
"93" "GSM3985354" "Retina_Macula" "AMD"
"94" "GSM3985355" "RPE_non-Macula" "AMD"
"95" "GSM3985356" "RPE_non-Macula" "AMD"
"96" "GSM3985357" "RPE_non-Macula" "Control"
"97" "GSM3985358" "RPE_Macula" "AMD"
"98" "GSM3985359" "RPE_Macula" "AMD"
"99" "GSM3985360" "RPE_non-Macula" "AMD"
"100" "GSM3985361" "RPE_non-Macula" "AMD"
"101" "GSM3985362" "RPE_Macula" "Control"
"102" "GSM3985363" "Retina_Macula" "AMD"
"103" "GSM3985364" "Retina_non-Macula" "Control"
"104" "GSM3985365" "Retina_Macula" "Control"
"105" "GSM3985366" "Retina_non-Macula" "AMD"
"106" "GSM3985367" "RPE_Macula" "AMD"
"107" "GSM3985368" "RPE_Macula" "AMD"
"108" "GSM3985369" "RPE_non-Macula" "AMD"
"109" "GSM3985370" "RPE_Macula" "AMD"
"110" "GSM3985371" "Retina_Macula" "AMD"
"111" "GSM3985372" "Retina_non-Macula" "Control"
"112" "GSM3985373" "RPE_Macula" "Control"
"113" "GSM3985374" "Retina_non-Macula" "AMD"
"114" "GSM3985375" "RPE_non-Macula" "AMD"
"115" "GSM3985376" "RPE_Macula" "Control"
"116" "GSM3985377" "RPE_Macula" "AMD"
"117" "GSM3985378" "Retina_Macula" "Control"
"118" "GSM3985379" "Retina_Macula" "AMD"
"119" "GSM3985380" "Retina_non-Macula" "Control"
"120" "GSM3985381" "Retina_non-Macula" "AMD"
"121" "GSM3985382" "Retina_non-Macula" "AMD"
"122" "GSM3985383" "Retina_Macula" "AMD"
"123" "GSM3985384" "RPE_non-Macula" "Control"
"124" "GSM3985385" "RPE_non-Macula" "AMD"
"125" "GSM3985386" "RPE_non-Macula" "Control"
"126" "GSM3985387" "Retina_Macula" "Control"
"127" "GSM3985388" "Retina_non-Macula" "Control"
"128" "GSM3985389" "Retina_non-Macula" "Control"
"129" "GSM3985390" "RPE_non-Macula" "Control"
"130" "GSM3985391" "Retina_non-Macula" "Control"
"131" "GSM3985392" "Retina_Macula" "Control"
"132" "GSM3985393" "Retina_Macula" "AMD"
"133" "GSM3985394" "Retina_non-Macula" "Control"
"134" "GSM3985395" "Retina_Macula" "Control"
"135" "GSM3985396" "Retina_Macula" "AMD"
"136" "GSM3985397" "RPE_Macula" "Control"
"137" "GSM3985398" "Retina_non-Macula" "Control"
"138" "GSM3985399" "Retina_non-Macula" "Control"
"139" "GSM3985400" "RPE_non-Macula" "Control"
"140" "GSM3985401" "RPE_Macula" "Control"
"141" "GSM3985402" "Retina_non-Macula" "Control"
"142" "GSM3985403" "RPE_Macula" "Control"
"143" "GSM3985404" "Retina_Macula" "Control"
"144" "GSM3985405" "RPE_Macula" "Control"
"145" "GSM3985406" "Retina_non-Macula" "Control"
"146" "GSM3985407" "Retina_Macula" "Control"
"147" "GSM3985408" "Retina_non-Macula" "Control"
"148" "GSM3985409" "RPE_non-Macula" "Control"
"149" "GSM3985410" "RPE_non-Macula" "Control"
"150" "GSM3985411" "RPE_Macula" "Control"
"151" "GSM3985412" "Retina_non-Macula" "Control"
"152" "GSM3985413" "RPE_non-Macula" "Control"
"153" "GSM3985414" "Retina_non-Macula" "Control"
"154" "GSM3985415" "Retina_non-Macula" "Control"
"155" "GSM3985416" "Retina_non-Macula" "Control"
"156" "GSM3985417" "RPE_non-Macula" "Control"
"157" "GSM3985418" "RPE_Macula" "Control"
